model_id,organization,author,count,gender
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP,Xenova,2,male
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP,izhx,11,male
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP,thenlper,3,male
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP,tomaarsen,1,male
AutonLab/MOMENT-1-large,AutonLab,KonradSzafer,9,male
AutonLab/MOMENT-1-large,AutonLab,MononitoGoswami,8,male
AutonLab/MOMENT-1-large,AutonLab,SFconvertbot,1,bot
BAAI/bge-small-en-v1.5,BAAI,AshokRaja,1,male
BAAI/bge-small-en-v1.5,BAAI,Shitao,7,male
BAAI/bge-small-en-v1.5,BAAI,Tim,1,male
BAAI/bge-small-en-v1.5,BAAI,ldwang,7,unknown
BAAI/bge-small-en-v1.5,BAAI,michaelfeil,1,male
Babelscape/wikineural-multilingual-ner,Babelscape,SFconvertbot,1,bot
Babelscape/wikineural-multilingual-ner,Babelscape,Simone Tedeschi,16,male
Babelscape/wikineural-multilingual-ner,Babelscape,lbourdois,1,male
Babelscape/wikineural-multilingual-ner,Babelscape,sted97,11,male
Babelscape/wikineural-multilingual-ner,Babelscape,system,1,bot
BridgeTower/bridgetower-large-itm-mlm-itc,BridgeTower,anahita-b,6,female
BridgeTower/bridgetower-large-itm-mlm-itc,BridgeTower,shaoyent,6,male
ByteDance/Hyper-SD,ByteDance,Yanzuo,17,unknown
ByteDance/Hyper-SD,ByteDance,renyuxi,43,unknown
CIDAS/clipseg-rd64-refined,CIDAS,nielsr,8,male
CompVis/stable-diffusion-safety-checker,CompVis,Ezi,1,female
CompVis/stable-diffusion-safety-checker,CompVis,valhalla,3,male
DeepChem/ChemBERTa-77M-MTR,DeepChem,Walid Ahmad,2,male
DeepChem/ChemBERTa-77M-MTR,DeepChem,system,1,bot
DeepFloyd/t5-v1_1-xxl,DeepFloyd,Alex Shonenkov,1,male
DeepFloyd/t5-v1_1-xxl,DeepFloyd,shonenkov,2,male
DeepPavlov/rubert-base-cased,DeepPavlov,Yura Kuratov,1,male
DeepPavlov/rubert-base-cased,DeepPavlov,julien-c,1,male
DeepPavlov/rubert-base-cased,DeepPavlov,patrickvonplaten,2,male
DeepPavlov/rubert-base-cased,DeepPavlov,system,8,bot
DeepPavlov/rubert-base-cased,DeepPavlov,yurakuratov,1,male
Efficient-Large-Model/Llama-3-VILA1.5-8B-Fix,Efficient-Large-Model,Seerkfang,2,male
EleutherAI/gpt-neo-2.7B,EleutherAI,LysandreJik,3,male
EleutherAI/gpt-neo-2.7B,EleutherAI,SFconvertbot,1,bot
EleutherAI/gpt-neo-2.7B,EleutherAI,guillaume-be,2,male
EleutherAI/gpt-neo-2.7B,EleutherAI,lg,1,male
EleutherAI/gpt-neo-2.7B,EleutherAI,lysandre,1,male
EleutherAI/gpt-neo-2.7B,EleutherAI,stellaathena,12,female
EleutherAI/gpt-neo-2.7B,EleutherAI,system,1,bot
EleutherAI/gpt-neo-2.7B,EleutherAI,valhalla,3,male
EmergentMethods/gliner_medium_news-v2.1,EmergentMethods,rcaulk,11,male
EmergentMethods/gliner_medium_news-v2.1,EmergentMethods,robcaulk,1,male
EmergentMethods/gliner_medium_news-v2.1,EmergentMethods,thorntwig,7,female
EmergentMethods/gliner_medium_news-v2.1,EmergentMethods,tomaarsen,1,male
FacebookAI/xlm-roberta-large,FacebookAI,MhondGhod,1,male
FacebookAI/xlm-roberta-large,FacebookAI,Narsil,1,male
FacebookAI/xlm-roberta-large,FacebookAI,fxmarty,1,male
FacebookAI/xlm-roberta-large,FacebookAI,joaogante,1,male
FacebookAI/xlm-roberta-large,FacebookAI,julien-c,1,male
FacebookAI/xlm-roberta-large,FacebookAI,lbourdois,1,male
FacebookAI/xlm-roberta-large,FacebookAI,lysandre,1,male
